,pl_name,hostname,default_flag,sy_pnum,discoverymethod,disc_year,disc_facility,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_rade,pl_bmasse,pl_bmassprov,pl_eqt,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,pl_pubdate,releasedate
137,81 Cet b,81 Cet,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60.1317S/abstract target=ref> Sato et al. 2008 </a>,952.7,8.8,-8.8,,1684.4,Msini,,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60.1317S/abstract target=ref> Sato et al. 2008 </a>,G5 III,4785,11,2.4,-0.06,[Fe/H],2.35,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h37m41.85s,39.4243555,-03d23m46.90s,-3.3963607,101.26,5.64307,0.023,-0.023,3.266,0.258,-0.258,5.37588,0.0031065,-0.0031065,2008-12,5/14/2014
138,91 Aqr b,91 Aqr,1,1,Radial Velocity,2013,Lick Observatory,<a refstr=MITCHELL_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...555A..87M/abstract target=ref> Mitchell et al. 2013 </a>,181.4,0.1,-0.1,,1017,Msini,,<a refstr=MITCHELL_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...555A..87M/abstract target=ref> Mitchell et al. 2013 </a>,K0 III,4665,11,1.4,-0.03,[Fe/H],2.52,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h15m53.88s,348.9745031,-09d05m16.11s,-9.0878076,44.0304,4.23946,0.023,-0.023,1.597,0.236,-0.236,3.95311,0.008843,-0.008843,2013-07,5/14/2014
139,AB Pic b,AB Pic,1,1,Imaging,2005,Paranal Observatory,<a refstr=CHAUVIN_ET_AL__2005 href=https://ui.adsabs.harvard.edu/abs/2005A&A...438L..29C/abstract target=ref> Chauvin et al. 2005 </a>,,,,,4290.5,Mass,,<a refstr=CHAUVIN_ET_AL__2005 href=https://ui.adsabs.harvard.edu/abs/2005A&A...438L..29C/abstract target=ref> Chauvin et al. 2005 </a>,K2 V,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h19m12.94s,94.8039208,-58d03m14.83s,-58.0541184,50.0475,9.13,0.03,-0.03,6.981,0.024,-0.024,8.8378,0.001332,-0.001332,2005-08,5/14/2014
31737,alf Ari b,alf Ari,1,1,Radial Velocity,2010,Bohyunsan Optical Astronomical Observatory,<a refstr=LEE_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...529A.134L/abstract target=ref> Lee et al. 2011 </a>,380.8,0.3,-0.3,,572.07,Msini,,<a refstr=LEE_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...529A.134L/abstract target=ref> Lee et al. 2011 </a>,,4553,13.9,1.5,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h07m10.39s,31.793286,+23d27m44.72s,23.462421,20.21019,2.00538,0.023,-0.023,-0.783,0.176,-0.176,,,,2011-05,1/31/2019
31738,alf Tau b,alf Tau,1,1,Radial Velocity,2015,Multiple Observatories,<a refstr=HATZES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...580A..31H/abstract target=ref>Hatzes et al. 2015</a>,628.96,0.9,-0.9,,2056.3601,Msini,,<a refstr=HATZES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...580A..31H/abstract target=ref>Hatzes et al. 2015</a>,K5 III,4055,45.1,1.13,-0.27,[Fe/H],1.2,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h35m55.24s,68.980174,+16d30m33.12s,16.509201,20.4332,0.872,0.023,-0.023,-3.044,0.14,-0.14,,,,2015-08,6/4/2015
140,AU Mic b,AU Mic,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),<a refstr=MARTIOLI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A.177M/abstract target=ref>Martioli et al. 2021</a>,8.463,2.00E-06,-2.00E-06,4.07,17,Mass,593,<a refstr=MARTIOLI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A.177M/abstract target=ref>Martioli et al. 2021</a>,,3700,0.75,0.5,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,9.7221,8.81,0.1,-0.1,4.529,0.02,-0.02,7.84038,0.000731,-0.000731,2021-05,8/9/2021
142,AU Mic c,AU Mic,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),<a refstr=MARTIOLI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A.177M/abstract target=ref>Martioli et al. 2021</a>,18.859019,1.60E-05,-1.60E-05,3.24,13.6,Mass,454,<a refstr=MARTIOLI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A.177M/abstract target=ref>Martioli et al. 2021</a>,,3700,0.75,0.5,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,9.7221,8.81,0.1,-0.1,4.529,0.02,-0.02,7.84038,0.000731,-0.000731,2021-05,8/10/2021
145,BD+14 4559 b,BD+14 4559,1,1,Radial Velocity,2009,McDonald Observatory,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,268.94,0.99,-0.99,,330.5432,Msini,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,4864,0.86,0.49,0.17,[Fe/H],4.26,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h13m36.24s,318.4010002,+14d41m21.78s,14.6893834,49.352,9.78,0.03,-0.03,7.336,0.023,-0.023,9.35108,0.000253,-0.000253,2017-03,9/6/2018
155,BD+45 564 b,BD+45 564,1,1,Radial Velocity,2021,Haute-Provence Observatory,<a refstr=DALAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210509741D/abstract target=ref>Dalal et al. 2021</a>,307.88,1.47,-1.47,,432.24663,Msini,,<a refstr=DALAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210509741D/abstract target=ref>Dalal et al. 2021</a>,K1,5004,,0.81,-0.09,[Fe/H],4.22,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h11m47.29s,32.9470485,+45d55m27.19s,45.9242187,53.622,9.67,0.03,-0.03,7.557,0.024,-0.024,9.41266,0.000255,-0.000255,2021-05,5/28/2021
159,BD+55 362 b,BD+55 362,1,1,Radial Velocity,2021,Haute-Provence Observatory,<a refstr=DALAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210509741D/abstract target=ref>Dalal et al. 2021</a>,265.59,1.04,-1.04,,228.83645,Msini,,<a refstr=DALAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210509741D/abstract target=ref>Dalal et al. 2021</a>,K3,5012,,0.91,0.18,[Fe/H],4.09,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h35m51.28s,23.9636676,+56d41m53.62s,56.6982282,52.5697,9.38,0.03,-0.03,7.331,0.021,-0.021,9.15305,0.000163,-0.000163,2021-05,5/28/2021
160,BD+63 1405 b,BD+63 1405,1,1,Radial Velocity,2021,Haute-Provence Observatory,<a refstr=DALAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210509741D/abstract target=ref>Dalal et al. 2021</a>,1198.48,60.79,-60.79,,1258.60049,Msini,,<a refstr=DALAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210509741D/abstract target=ref>Dalal et al. 2021</a>,K0,5000,,0.82,-0.09,[Fe/H],4.2,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h05m35.50s,271.3979337,+63d40m12.02s,63.6700064,38.0473,8.96,0.03,-0.03,6.78,0.017,-0.017,8.705,0.000257,-0.000257,2021-05,5/28/2021
161,BD-00 4475 b,BD-00 4475,1,1,Radial Velocity,2021,Haute-Provence Observatory,<a refstr=DALAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210509741D/abstract target=ref>Dalal et al. 2021</a>,723.2,0.74,-0.74,,7961.6016,Msini,,<a refstr=DALAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210509741D/abstract target=ref>Dalal et al. 2021</a>,G0,5040,,0.81,-0.14,[Fe/H],4.25,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h10m50.60s,347.7108441,+00d24m30.82s,0.4085612,42.6402,9.01,0.03,-0.03,6.996,0.026,-0.026,8.78101,0.000253,-0.000253,2021-05,5/28/2021
162,BD-06 1339 b,BD-06 1339,1,2,Radial Velocity,2013,La Silla Observatory,<a refstr=LO_CURTO_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..59L/abstract target=ref> Lo Curto et al. 2013 </a>,3.8728,0.0004,-0.0004,,8.5,Msini,,<a refstr=LO_CURTO_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..59L/abstract target=ref> Lo Curto et al. 2013 </a>,K7/M0 V,4324,,0.7,-0.14,[Fe/H],4.74,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h53m00.28s,88.2511811,-05d59m46.82s,-5.9963378,20.2695,9.7,0.03,-0.03,6.305,0.018,-0.018,9.10677,0.000602,-0.000602,2013-03,5/14/2014
163,BD-06 1339 c,BD-06 1339,1,2,Radial Velocity,2013,La Silla Observatory,<a refstr=LO_CURTO_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..59L/abstract target=ref> Lo Curto et al. 2013 </a>,125.94,0.44,-0.44,,53,Msini,,<a refstr=LO_CURTO_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..59L/abstract target=ref> Lo Curto et al. 2013 </a>,K7/M0 V,4324,,0.7,-0.14,[Fe/H],4.74,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h53m00.28s,88.2511811,-05d59m46.82s,-5.9963378,20.2695,9.7,0.03,-0.03,6.305,0.018,-0.018,9.10677,0.000602,-0.000602,2013-03,5/14/2014
165,BD-08 2823 b,BD-08 2823,1,2,Radial Velocity,2009,La Silla Observatory,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,5.6,0.02,-0.02,,12.7132,Msini,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,4816,0.71,0.5,-0.06,[Fe/H],4.43,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h00m47.33s,150.1971964,-09d30m59.65s,-9.5165689,41.3342,9.86,0.03,-0.03,7.323,0.021,-0.021,9.50331,0.000418,-0.000418,2017-03,9/6/2018
166,BD-08 2823 c,BD-08 2823,1,2,Radial Velocity,2009,La Silla Observatory,<a refstr=HEBRARD_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..46H/abstract target=ref> H&eacute;brard et al. 2010 </a>,237.6,1.5,-1.5,,104,Msini,,<a refstr=HEBRARD_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..46H/abstract target=ref> H&eacute;brard et al. 2010 </a>,K3 V,4746,,0.74,-0.07,[Fe/H],4.13,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h00m47.33s,150.1971964,-09d30m59.65s,-9.5165689,41.3342,9.86,0.03,-0.03,7.323,0.021,-0.021,9.50331,0.000418,-0.000418,2010-03,5/14/2014
170,BD-10 3166 b,BD-10 3166,1,1,Radial Velocity,2000,W. M. Keck Observatory,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,3.48777,0.00011,-0.00011,,187.5197,Msini,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5393,0.91,1.47,0.38,[Fe/H],4.69,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h58m28.59s,164.6191243,-10d46m13.52s,-10.7704227,84.4069,10.013,0.007,-0.007,8.124,0.026,-0.026,9.83981,0.000607,-0.000607,2017-03,9/6/2018
172,BD-11 4672 b,BD-11 4672,1,2,Radial Velocity,2014,La Silla Observatory,<a refstr=BARBATO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200614393B/abstract target=ref>Barbato et al. 2020</a>,1634,13,-14,,206.5895,Msini,,<a refstr=BARBATO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200614393B/abstract target=ref>Barbato et al. 2020</a>,,4550,0.64,0.65,-0.35,[Fe/H],4.64,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h33m28.53s,278.3688659,-11d38m13.37s,-11.6370481,27.1665,10.03,0.03,-0.03,6.867,0.024,-0.024,9.48511,0.000518,-0.000518,2020-06,7/23/2020
173,BD-11 4672 c,BD-11 4672,1,2,Radial Velocity,2020,Roque de los Muchachos Observatory,<a refstr=BARBATO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200614393B/abstract target=ref>Barbato et al. 2020</a>,74.2,0.06,-0.08,,15.37,Msini,,<a refstr=BARBATO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200614393B/abstract target=ref>Barbato et al. 2020</a>,,4550,0.64,0.65,-0.35,[Fe/H],4.64,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h33m28.53s,278.3688659,-11d38m13.37s,-11.6370481,27.1665,10.03,0.03,-0.03,6.867,0.024,-0.024,9.48511,0.000518,-0.000518,2020-06,7/23/2020
176,BD-17 63 b,BD-17 63,1,1,Radial Velocity,2008,La Silla Observatory,<a refstr=MOUTOU_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...496..513M/abstract target=ref> Moutou et al. 2009 </a>,655.6,0.6,-0.6,,1620.9,Msini,,<a refstr=MOUTOU_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...496..513M/abstract target=ref> Moutou et al. 2009 </a>,K5 V,4714,0.69,0.74,-0.03,[Fe/H],4.26,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h28m33.92s,7.1413494,-16d13m38.37s,-16.2273254,34.4603,9.62,0.03,-0.03,6.914,0.024,-0.024,9.20112,0.000514,-0.000514,2009-03,5/14/2014
31739,bet Cnc b,bet Cnc,1,1,Radial Velocity,2014,Bohyunsan Optical Astronomical Observatory,<a refstr=LEE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...566A..67L/abstract target=ref> Lee et al. 2014</a>,605.2,4,-4,,2479,Msini,,<a refstr=LEE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...566A..67L/abstract target=ref> Lee et al. 2014</a>,K4 III,4092.1,47.2,1.7,-0.29,[Fe/H],1.4,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h16m30.87s,124.1286379,+09d11m07.19s,9.1853306,89.0472,3.51012,0.023,-0.023,0.19,0.202,-0.202,3.04628,0.0102768,-0.0102768,2014-06,5/14/2014
31740,bet Pic b,bet Pic,1,2,Imaging,2008,Paranal Observatory,<a refstr=NIELSEN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...794..158N/abstract target=ref>Nielsen et al. 2014</a>,7665,7300,-730,,,,,<a refstr=NIELSEN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...794..158N/abstract target=ref>Nielsen et al. 2014</a>,,,,1.76,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h47m17.10s,86.8212337,-51d03m58.13s,-51.066148,19.7442,3.85,0.03,-0.03,3.526,0.222,-0.222,3.82015,0.0044271,-0.0044271,2014-10,8/13/2015
31748,bet Pic c,bet Pic,1,2,Radial Velocity,2019,La Silla Observatory,<a refstr=LAGRANGE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019NatAs...3.1135L/abstract target=ref>Lagrange et al. 2019</a>,1200,,,,2860.47,Mass,,<a refstr=LAGRANGE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019NatAs...3.1135L/abstract target=ref>Lagrange et al. 2019</a>,,,,1.75,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h47m17.10s,86.8212337,-51d03m58.13s,-51.066148,19.7442,3.85,0.03,-0.03,3.526,0.222,-0.222,3.82015,0.0044271,-0.0044271,2019-08,8/29/2019
31749,bet UMi b,bet UMi,1,1,Radial Velocity,2014,Bohyunsan Optical Astronomical Observatory,<a refstr=LEE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...566A..67L/abstract target=ref> Lee et al. 2014</a>,522.3,2.7,-2.7,,1938.7,Msini,,<a refstr=LEE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...566A..67L/abstract target=ref> Lee et al. 2014</a>,K4 III,4126,38.3,1.4,-0.27,[Fe/H],1.5,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h50m42.36s,222.676495,+74d09m19.97s,74.155548,38.77472,2.0569,0.023,-0.023,-1.287,0.204,-0.204,,,,2014-06,5/14/2014
178,CD Cet b,CD Cet,1,1,Radial Velocity,2020,Calar Alto Observatory,<a refstr=BAUER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...640A..50B/abstract target=ref>Bauer et al. 2020</a>,2.2907,0.00012,-0.00012,,3.95,Msini,464,<a refstr=BAUER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...640A..50B/abstract target=ref>Bauer et al. 2020</a>,M5.0 V,3130,0.17,0.16,0.13,[Fe/H],4.93,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h13m24.72s,48.3530155,+04d46m30.68s,4.7751881,8.60715,13.95,0.2,-0.2,7.833,0.024,-0.024,12.1232,0.00105,-0.00105,2020-08,11/2/2021
183,COCONUTS-2 b,COCONUTS-2 A,1,1,Imaging,2021,NASA Infrared Telescope Facility (IRTF),<a refstr=ZHANG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJ...916L..11Z/abstract target=ref>Zhang et al. 2021</a>,402000000,470000000,-100000000,12.442,2002.31896,Mass,434,<a refstr=ZHANG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJ...916L..11Z/abstract target=ref>Zhang et al. 2021</a>,M3 V,3406,0.39,0.37,0,[Fe/H],4.83,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h49m12.22s,117.300914,-76d42m09.71s,-76.702696,10.8864,11.298,0.027,-0.027,6.579,0.018,-0.018,10.146,0.001567,-0.001567,2021-08,8/16/2021
288,DE CVn b,DE CVn,1,1,Eclipse Timing Variations,2018,Multiple Facilities,<a refstr=HAN_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018arXiv181108625H/abstract target=ref>Han et al. 2018</a>,4098.1,131.5,-131.5,,3823.2733,Msin(i)/sin(i),,<a refstr=HAN_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018arXiv181108625H/abstract target=ref>Han et al. 2018</a>,,,,0.51,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h26m52.97s,201.7207198,+45d32m43.96s,45.5455449,30.5225,12.956,0.023,-0.023,8.555,0.021,-0.021,11.9752,0.001081,-0.001081,2018-11,7/11/2019
292,DMPP-1 b,DMPP-1,1,4,Radial Velocity,2019,La Silla Observatory,<a refstr=STAAB_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs...4..399S/abstract target=ref>Staab et al. 2020</a>,18.57,0.01,-0.01,,24.27,Msini,877,<a refstr=STAAB_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs...4..399S/abstract target=ref>Staab et al. 2020</a>,F8 V,6196,1.26,1.21,,,4.41,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h47m06.27s,86.7761233,-10d37m49.16s,-10.6303217,62.5388,7.98,0.03,-0.03,6.69,0.024,-0.024,7.85032,0.00029,-0.00029,2019-12,1/30/2020
293,DMPP-1 c,DMPP-1,1,4,Radial Velocity,2019,La Silla Observatory,<a refstr=STAAB_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs...4..399S/abstract target=ref>Staab et al. 2020</a>,6.584,0.003,-0.002,,9.6,Msini,1239,<a refstr=STAAB_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs...4..399S/abstract target=ref>Staab et al. 2020</a>,F8 V,6196,1.26,1.21,,,4.41,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h47m06.27s,86.7761233,-10d37m49.16s,-10.6303217,62.5388,7.98,0.03,-0.03,6.69,0.024,-0.024,7.85032,0.00029,-0.00029,2019-12,1/30/2020
294,DMPP-1 d,DMPP-1,1,4,Radial Velocity,2019,La Silla Observatory,<a refstr=STAAB_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs...4..399S/abstract target=ref>Staab et al. 2020</a>,2.882,0.001,-0.001,,3.35,Msini,1632,<a refstr=STAAB_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs...4..399S/abstract target=ref>Staab et al. 2020</a>,F8 V,6196,1.26,1.21,,,4.41,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h47m06.27s,86.7761233,-10d37m49.16s,-10.6303217,62.5388,7.98,0.03,-0.03,6.69,0.024,-0.024,7.85032,0.00029,-0.00029,2019-12,1/30/2020
295,DMPP-1 e,DMPP-1,1,4,Radial Velocity,2019,La Silla Observatory,<a refstr=STAAB_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs...4..399S/abstract target=ref>Staab et al. 2020</a>,5.516,0.002,-0.004,,4.13,Msini,1314,<a refstr=STAAB_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs...4..399S/abstract target=ref>Staab et al. 2020</a>,F8 V,6196,1.26,1.21,,,4.41,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h47m06.27s,86.7761233,-10d37m49.16s,-10.6303217,62.5388,7.98,0.03,-0.03,6.69,0.024,-0.024,7.85032,0.00029,-0.00029,2019-12,1/30/2020
298,DMPP-3 A b,DMPP-3 A,1,1,Radial Velocity,2019,La Silla Observatory,<a refstr=BARNES_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs...4..419B/abstract target=ref>Barnes et al. 2020</a>,6.6732,0.0011,-0.0003,,2.58,Msini,854,<a refstr=BARNES_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs...4..419B/abstract target=ref>Barnes et al. 2020</a>,K0 V,5138,0.91,0.87,0.18,[Fe/H],4.3,<a refstr=HIPPARCOS_AND_TYCHO_CATALOGS href=https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract target=ref> Hipparcos and Tycho Catalogs </a>,06h06m29.85s,91.624382,-72d30m45.6s,-72.5126648,45.23,,,,,,,,,,2019-12,1/30/2020
302,DS Tuc A b,DS Tuc A,1,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),<a refstr=NEWTON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...880L..17N/abstract target=ref>Newton et al. 2019</a>,8.138268,1.10E-05,-1.10E-05,5.7,,,850,<a refstr=NEWTON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...880L..17N/abstract target=ref>Newton et al. 2019</a>,G6 V,5428,0.96,1.01,0,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h39m39.71s,354.9154673,-69d11m45.75s,-69.196043,44.0622,8.17,0.03,-0.03,6.676,0.034,-0.034,8.31926,0.001025,-0.001025,2019-07,7/11/2019
